source,reply_to,date,reactions,text,url
Crystal Riley,ROOT,2019-05-31,1,Mandy Bloor Tara Bedward,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344533908735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCXyy51o8FwdsVD&refid=52&__tn__=R
Tara Bedward,Crystal Riley,2019-05-31,,Crystal Riley sad and true 😂,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344533908735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCXyy51o8FwdsVD&refid=52&__tn__=R
Amber Kay Brown,,2019-05-31,1,Megan Elizabeth,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734
Ashley Toy,,2019-05-31,1,Marie Cuccia,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734
Joffrey Brs,,2019-05-31,1,Julie Shado,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734
Jay Fromp,,2019-05-31,1,Daniel Ross,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734
Alex Murter,,2019-05-31,1,Amanda Leah Stauffer,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734
Brittany Fryer,,2019-05-31,1,Sydney Jose,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734
Jason Dungey,,2019-05-31,1,Claudia Péyroux,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734
Matti Vanden Panhuyzen,,2019-05-31,2,Kiani De Winter,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734
Austin Hohmann,,2019-05-31,1,Kaitlyn Marie,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734
Ruth Fang,ROOT,2019-05-31,2,Laura Karol Akriti,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344944603735&count=2&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQArcw-WVTaVGgl5&refid=52&__tn__=R
Laura Rixon,Ruth Fang,2019-05-31,,Ruth fact of the week.,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344944603735&count=2&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQArcw-WVTaVGgl5&refid=52&__tn__=R
Akriti Nagpal,Ruth Fang,"Yesterday,at,23:44",,Me rn,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344944603735&count=2&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQArcw-WVTaVGgl5&refid=52&__tn__=R
Rene Mues,ROOT,2019-05-31,1,Lotte Rozema,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345061023735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCFQ4wQMhtL-EvY&refid=52&__tn__=R
Lotte Rozema,Rene Mues,2019-05-31,1,Rene Mues zo voel ik me wel ja,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345061023735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCFQ4wQMhtL-EvY&refid=52&__tn__=R
Vince Lee,ROOT,2019-05-31,2,Mia Huang Yvonne Wang,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345112498735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBu8zMzAkH7fN_d&refid=52&__tn__=R
Mia Huang,Vince Lee,2019-05-31,,肥美,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345112498735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBu8zMzAkH7fN_d&refid=52&__tn__=R
Hinal Hinix Arya,ROOT,2019-05-31,1,Chloe Ashlee Alix,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344725128735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCrLp4iWsUCRvYX&refid=52&__tn__=R
Ashlee Smith,Hinal Hinix Arya,2019-05-31,1,🙋🏼‍♀️,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344725128735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCrLp4iWsUCRvYX&refid=52&__tn__=R
Kaleb Quintero,ROOT,"3,Jun,at,22:53",1,Alexandra Rojas Estupiñan mira a quien te recuerda,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157354998033735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQA3m5y_bAM1o57S&refid=52&__tn__=R
Alexandra Rojas Estupiñan,Kaleb Quintero,"3,Jun,at,23:46",,Kaleb Quintero a nuestro Vegis hermoso y loco!!!😍👏😬💋,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157354998033735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQA3m5y_bAM1o57S&refid=52&__tn__=R
Filmore Castellanos,ROOT,2019-05-31,1,Este-fany Olguin Lopez,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344540928735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQABtjpRRFeYzaA2&refid=52&__tn__=R
Este-fany Olguin Lopez,Filmore Castellanos,2019-05-31,,thats so me on tuesdays ready to call out 😓😭,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344540928735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQABtjpRRFeYzaA2&refid=52&__tn__=R
Shelley Ward,,2019-05-31,3,Brittany Olds Vanessa Walsh Jessica Stoker,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=10&av=100013685075604&eav=Afay58o6mLUWoD6gTsCulTNfKu6mFX194DucnaEfMyY13HX1EmUX6Zm6NsBMMcGsWCM&refid=52
Diego Plata,,2019-05-31,1,Fernanda V. Yépiz,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=10&av=100013685075604&eav=Afay58o6mLUWoD6gTsCulTNfKu6mFX194DucnaEfMyY13HX1EmUX6Zm6NsBMMcGsWCM&refid=52
Tricia Conlon,,"2,Jun,at,00:04",1,Joe Conlon...#day12,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=10&av=100013685075604&eav=Afay58o6mLUWoD6gTsCulTNfKu6mFX194DucnaEfMyY13HX1EmUX6Zm6NsBMMcGsWCM&refid=52
Sierra Michelle,,"1,Jun,at,08:39",,"Jessica Parnell, it's you.",https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=10&av=100013685075604&eav=Afay58o6mLUWoD6gTsCulTNfKu6mFX194DucnaEfMyY13HX1EmUX6Zm6NsBMMcGsWCM&refid=52
Heidi Johnston,ROOT,2019-05-31,1,Felicity Hopkins 😂,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345080278735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCPnT8U-KWMUjP7&refid=52&__tn__=R
